# Export CSV started at 23/07/2024 10:30
# System name: "WECS_Odgaard_3_Blade_3.ame"
# Data set name: "1"
# ame_simulation_time;Vw;Ps;A3;A4;A5;A1;A2;A6;
# Time;Wind_speed;Power_sensor;Pitch angle_1;Pitch angle_2;Pitch angle_3;Rotor_speed_sensor;Generator_speed_sensor;Torque_sensor;
# s;m/s;W;deg;deg;deg;rpm;rpm;Nm;
7.7;14.7998;3.30773e+06;0.157429;0.157429;0.157429;10.8169;1044.03;1.44415e+06;
7.8;14.7998;3.33185e+06;0.138156;0.138156;0.138156;11.8229;1052.95;1.46452e+06;
7.9;14.7998;3.35582e+06;0.112177;0.112177;0.112177;11.2246;1059.56;1.48584e+06;
8;12.8907;3.38019e+06;-0.0457707;-0.0457707;-0.0457707;11.4627;1067.5;1.5079e+06;
8.1;12.8907;3.39061e+06;-0.060244;-0.060244;-0.060244;10.7024;1069.68;1.51971e+06;
8.2;12.8907;3.40038e+06;-0.0703174;-0.0703174;-0.0703174;11.5978;1073.96;1.52671e+06;
8.3;12.8907;3.41012e+06;-0.0494141;-0.0494141;-0.0494141;11.0155;1076.18;1.53803e+06;
8.4;12.8907;3.42018e+06;0.0461025;0.0461025;0.0461025;11.0491;1079.36;1.54708e+06;
8.5;12.8907;3.43002e+06;0.0714005;0.0714005;0.0714005;10.7162;1081.95;1.55502e+06;
8.6;12.8907;3.43929e+06;0.0362328;0.0362328;0.0362328;11.3816;1085.77;1.56193e+06;
8.7;12.8907;3.44861e+06;-0.117759;-0.117759;-0.117759;11.5692;1088.93;1.57169e+06;
8.8;12.8907;3.4585e+06;-0.0672521;-0.0672521;-0.0672521;11.3552;1091.7;1.57924e+06;
8.9;12.8907;3.46833e+06;-0.093483;-0.093483;-0.093483;11.8922;1095.51;1.58995e+06;
9;13.1709;3.47753e+06;-0.0982981;-0.0982981;-0.0982981;11.1356;1097.32;1.5978e+06;
9.1;13.1709;3.48842e+06;-0.134134;-0.134134;-0.134134;11.7533;1101.56;1.60659e+06;
9.2;13.1709;3.49976e+06;-0.107916;-0.107916;-0.107916;11.6651;1104.97;1.61918e+06;
9.3;13.1709;3.51107e+06;-0.142387;-0.142387;-0.142387;12.1417;1109.16;1.62698e+06;
9.4;13.1709;3.52182e+06;-0.129075;-0.129075;-0.129075;11.823;1112.05;1.64021e+06;
9.5;13.1709;3.53215e+06;0.0234936;0.0234936;0.0234936;11.4242;1114.71;1.64865e+06;
