# Export CSV started at 23/07/2024 10:32
# System name: "WECS_Odgaard_3_Blade_3.ame"
# Data set name: "6"
# ame_simulation_time;Vw;Ps;A3;A4;A5;A1;A2;A6;
# Time;Wind_speed;Power_sensor;Pitch angle_1;Pitch angle_2;Pitch angle_3;Rotor_speed_sensor;Generator_speed_sensor;Torque_sensor;
# s;m/s;W;deg;deg;deg;rpm;rpm;Nm;
13.4;2.73782;180637;-0.0483105;-0.0483105;-0.0483105;1.08946;109.495;16068.4;
13.5;2.73782;176226;0.0904125;0.0904125;0.0904125;0.871259;107.614;15908.4;
13.6;2.73782;166797;0.170639;0.170639;0.170639;0.793957;106.018;15271.1;
13.7;2.73782;157047;0.117864;0.117864;0.117864;1.09401;104.994;14579.6;
13.8;2.73782;150962;-0.00781341;-0.00781341;-0.00781341;1.64499;104.385;14204.3;
13.9;2.73782;146036;-0.108436;-0.108436;-0.108436;-0.186627;100.534;13916.6;
14;5.34562;142305;-0.229518;-0.229518;-0.229518;1.10425;101.166;13713.2;
14.1;5.34562;157186;-0.044424;-0.044424;-0.044424;1.57965;106.031;14534.6;
14.2;5.34562;176420;0.0702134;0.0702134;0.0702134;1.78142;110.05;15746.5;
14.3;5.34562;192359;0.155426;0.155426;0.155426;1.08256;112.399;16653.9;
14.4;5.34562;210378;0.202408;0.202408;0.202408;1.40972;115.857;17734.3;
14.5;5.34562;223411;0.186344;0.186344;0.186344;0.79807;117.734;18391.5;
14.6;5.34562;241205;0.000710987;0.000710987;0.000710987;0.794595;120.29;19429.9;
14.7;5.34562;253183;0.0547654;0.0547654;0.0547654;1.04589;122.973;20003.6;
14.8;5.34562;265974;0.0373064;0.0373064;0.0373064;1.89373;126.268;20655.8;
14.9;5.34562;277077;-0.00831269;-0.00831269;-0.00831269;1.22265;127.248;21189;
15;4.49805;290586;-0.0662466;-0.0662466;-0.0662466;1.33486;129.199;21911;
15.1;4.49805;292492;-0.0628236;-0.0628236;-0.0628236;1.46475;129.099;22103.9;
15.2;4.49805;291403;0.0215622;0.0215622;0.0215622;1.34195;128.618;22075.2;
15.3;4.49805;288463;0.127703;0.127703;0.127703;1.75439;128.844;21913.1;
15.4;4.49805;283364;0.0557731;0.0557731;0.0557731;0.914527;127.37;21576.7;
15.5;4.49805;282214;-0.0883412;-0.0883412;-0.0883412;1.52329;128.018;21524;
15.6;4.49805;284532;-0.00824996;-0.00824996;-0.00824996;0.923001;126.976;21735.7;
15.7;4.49805;280535;0.0439168;0.0439168;0.0439168;0.935887;126.763;21469.8;
15.8;4.49805;280549;-0.0693947;-0.0693947;-0.0693947;1.8659;127.85;21507.7;
15.9;4.49805;280269;-0.0473027;-0.0473027;-0.0473027;0.972304;126.429;21515.5;
16;4.49805;277748;0.0123263;0.0123263;0.0123263;0.818346;126.08;21344.9;
16.1;4.00698;269776;-0.0470361;-0.0470361;-0.0470361;0.996661;125.329;20900.9;
16.2;4.00698;267209;-0.0935559;-0.0935559;-0.0935559;1.38235;124.888;20867;
16.3;4.00698;259738;0.0571511;0.0571511;0.0571511;1.49235;124.109;20438.7;
16.4;4.00698;254315;0.0233696;0.0233696;0.0233696;1.58492;123.424;20146.7;
16.5;4.00698;245830;-0.00720359;-0.00720359;-0.00720359;1.0523;121.928;19596;
16.6;4.00698;243291;-0.1309;-0.1309;-0.1309;1.08536;121.257;19509.7;
16.7;4.00698;240743;-0.104949;-0.104949;-0.104949;1.45333;121.072;19418.9;
16.8;4.00698;238707;-0.0116702;-0.0116702;-0.0116702;1.14226;119.996;19358.8;
16.9;4.00698;235029;0.112527;0.112527;0.112527;-0.100334;117.67;19155.6;
17;5.67929;229458;0.0679356;0.0679356;0.0679356;1.12929;118.839;18785.4;
17.1;5.67929;245293;-0.015947;-0.015947;-0.015947;0.985548;122.121;19502.4;
17.2;5.67929;269673;-0.151919;-0.151919;-0.151919;1.6317;126.257;20882.1;
17.3;5.67929;288863;-0.0856669;-0.0856669;-0.0856669;1.39978;128.899;21845.5;
17.4;5.67929;305372;-0.00346189;-0.00346189;-0.00346189;1.39372;131.544;22621.3;
17.5;5.67929;322954;-0.0755532;-0.0755532;-0.0755532;1.47735;134.028;23494.6;
17.6;5.67929;343668;-0.0589826;-0.0589826;-0.0589826;1.54617;136.252;24604.8;
17.7;5.67929;356342;0.0707503;0.0707503;0.0707503;1.00837;137.425;25151.1;
17.8;5.67929;368639;0.0115016;0.0115016;0.0115016;1.57133;140.003;25681.1;
17.9;5.67929;383036;-0.0917309;-0.0917309;-0.0917309;1.37693;141.365;26371.5;
18;6.59919;399346;-0.0650477;-0.0650477;-0.0650477;0.926702;142.174;27211.5;
